Scientific Name|Common Name|# of States 2005|States 2005|# of States 2015|States 2015|Taxonomic Group
Thomomys bottae limpiae|Limpia southern pocket gopher|1|Texas|0||Mammals
Thomomys bottae operarius|Owens Lake Pocket Gopher|1|California|0||Mammals
Thomomys bottae texensis|Limpia Creek pocket gopher|1|Texas|0||Mammals
Thomomys talpoides macrotis|Douglas County pocket gopher|1|Colorado|0||Mammals
Thomomys townsendii|Townsend's Pocket Gopher|1|Idaho|0||Mammals
Thomomys umbrinus emotus|Animas southern pocket gopher|1|New Mexico|0||Mammals
Urocitellus armatus|Uinta Ground Squirrel|1|Wyoming|0||Mammals
Urocitellus brunneus brunneus|northern Idaho ground squirrel|1|Idaho|0||Mammals
Urocitellus brunneus endemicus|Southern Idaho Ground Squirrel|1|Idaho|0||Mammals
Urocitellus elegans|Wyoming Ground Squirrel|3|Idaho,Utah,Wyoming|0||Mammals
Urocitellus townsendii townsendii|Townsend's ground squirrel ssp.|1|Washington|0||Mammals
Urocyon littoralis|Island Fox|1|California|0||Mammals
Ursus americanus amblyceps|Black Bear|1|New Mexico|0||Mammals
Ursus americanus americanus|American black bear|1|Arkansas|0||Mammals
